screen_name,followers_count,statuses_count,location,geo_enabled
KRISHNA81215008,0,0,,False
Priyank51974303,1,1,,False
mallick_jhuma,1,0,,False
Deepak54821136,0,3,"Jhalrapatan, India",False
Udarambarara2,1,0,,False
roy_shesher,0,0,,False
SUl3fUxJIazxtwJ,0,0,,False
sinha_sourya,0,1,,False
alokyadav58,1708,2301,"Kusmara,  Mainpuri UP",True
pyladcyftl18621,0,0,,False
Hushikesh1,0,0,,False
PrafullSorate,0,0,,False
tobystories,1,2,,False
MoorthiJo3,0,0,,False
GhutukThakur,0,0,,False
ekchajzerjunie2,0,5,,False
KishorePalnati,0,0,"Hyderabad, India",False
VikasSa53566122,1,0,"Sohna, India",False
meredit33169387,0,0,,False
vs436702,0,0,,False
AdjeiMalvin,20,30,Bethlehem,False
NitinKinha,0,0,,False
Sampac17,0,0,,False
slKljrY9hGAdhIc,0,0,,False
Vasanth2219,1,0,,False
EhsanEl66739739,1,0,,False
Arijit6797,0,0,,False
ShakirH12570517,0,0,,False
Dharmen43208851,1,0,,False
TI4EyTAklOA0FiU,0,0,,False
HarshBainsla2,0,1,,False
EnglengWelson,0,0,,False
GovindMaharaj5,0,1,,False
an_rasid,0,0,,False
edwin76709408,30,59,,False
y1l7L5jy2Ckfiy4,0,0,,False
DanLee05864803,0,0,,False
Dhruvasamudral1,0,0,,False
arunver94126324,0,0,,False
shivsha21629984,2,0,,False
sanju365621,0,0,,False
ErChaanakya,0,0,,False
mudaser_barsa,0,0,,False
GaganSi13087559,1,0,,False
huldacopell9,0,0,,False
sungvoepel3,0,0,,False
MukeshK17238107,0,0,,False
ErASHISHPATEL1,1,0,,False
VermaDenik,0,0,,False
shahrukh_sipai,0,0,,False
ganesh30381072,0,0,,False
Qianyou8,2,0,,False
ParvezSgah,2,0,,False
FhUmYbmj67U2HbU,0,0,,False
kaushalya_shah,0,0,,False
prasantkawala,2,1,,False
marcustngulube,1,0,,False
ParthTh20803098,0,3,"Ahmadabad City, India",False
vktikare123,0,0,,False
Said68584591,0,0,,False
ManishY47638846,0,0,,False
PramodK18737667,1,0,,False
Yamhaihumm,0,0,,False
AshishS19175906,0,1,,False
ARBAZKH28799160,5,4,"Maharashtra, India",False
MajnuTharun,1,0,,False
HvCuong0691,180,22,,False
Nitinsa96028649,0,0,,False
seelamKrishnar4,2,2,sakhinaveedu,
